name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Tomboy: Love in Hot Forge,29-02-2024,0.0003077254608708,0.1197478991596638,0.0002942639139598,1.3421321457630302,88,Indie,NSFW18 Games,Zylyx
Platform 8,31-05-2024,0.0054358650234602,0.1197478991596638,0.0168602935777328,0.9864579579325782,86,Indie,KOTAKE CREATE,KOTAKE CREATE
Kanna Maze,15-05-2024,0.0002420422273896,0.1197478991596638,8.678684611617131e-05,3.6680798219231856,89,Indie,致意,致意
KAMITSUBAKI CITY ENSEMBLE,28-08-2024,0.0005436515674609,0.1197478991596638,0.0010559307754501,3.618618537414159,62,Indie,"KAMITSUBAKI STUDIO,Studio Lalala","KAMITSUBAKI STUDIO,Studio Lalala"
Miss Neko: Pirates,22-03-2024,0.0015164075676194,0.1197478991596638,0.0037856741025559,3.115070265712853,82,Indie,Toffee Cafe,Orangeee
Mimic Logic,22-02-2024,0.000477480345618,0.1197478991596638,0.0010006132164399,9.843984440009253,99,Indie,Nihohe Soft,Nihohe Soft
Humans are not that against Lizardwomen,06-04-2024,0.0016691804573804,0.1197478991596638,0.0022675852607595,2.73542716292518,94,Indie,Horny Capybara Studio,Hue Axis Entertainment
挂姬恶魔 IDLE DEVILS,30-01-2024,0.0007456462166359,0.1197478991596638,0.001244862407062,76.24068923464054,80,Indie,"GOCORE,NPC Entertainment",GOCORE
Abyss School,19-01-2024,0.0008321502868818,0.1197478991596638,0.0021336524384727,4.04024775680354,91,Indie,eTIRUe,eTIRUe
Psalm 5:9-13,13-03-2024,0.0011133291808777,0.1197478991596638,0.0027275700337973,0.5496443790101976,86,Indie,"Ranwog,Notex,a1esska","Ranwog,Notex,a1esska"
It was a human.,26-07-2024,0.0001694620917302,0.1497599039615846,0.0001009277412429,1.635386691608368,79,Indie,GAMER Plan,Loser/s
Scarlet Tower,25-03-2024,0.0021305897196207,0.1497599039615846,0.0070126379613836,10.807864513617217,86,Indie,Pyxeralia LLC,Pyxeralia LLC
An alt girl for skoof,21-04-2024,0.0046157192502755,0.1497599039615846,0.0132124932026629,2.0744072440511374,0,Indie,Terletski Games,"Terletski Games,RIKANIMATION"
Maniac,28-03-2024,0.0018363002049746,0.1497599039615846,0.0062266591920831,4.290811596159339,91,Indie,Skystone Games,Transhuman Design
Windowkill,23-02-2024,0.0017403291605123,0.1497599039615846,0.006344364757667,4.033346015712271,97,Indie,torcado,torcado
Minami Lane,28-02-2024,0.0047672233702961,0.1497599039615846,0.0177238154522776,2.804406343676304,0,Indie,"Doot,Wholesome Games Presents","Doot,Blibloop"
Chained Together,19-06-2024,0.1283764321401107,0.1497599039615846,0.493151199376827,4.298188585202378,89,Indie,Anegar Games,Anegar Games
风流公子romantic young man,25-07-2024,0.000309059295726,0.1497599039615846,0.0005605358101072,2.6870168978411,90,Indie,Ronin SoftWork,Ronin SoftWork
Cats Hidden Around the World,09-06-2024,0.0003263015511718,0.1497599039615846,0.0005448880982866,2.280299730203956,97,Indie,Travellin Cats,Travellin Cats
Loopstructor,07-08-2024,0.0001560912106203,0.1497599039615846,5.731698885401892e-05,6.452068776829051,87,Indie,Pone Games,Pone Games
Game Store Simulator,20-08-2024,0.0001873875308823,0.1497599039615846,0.0001259640801559,4.17682057665008,84,Indie,Pex Entertainment,Pex Entertainment
SUMMERHOUSE,08-03-2024,0.0040431137066886,0.1497599039615846,0.0126468284203478,2.329047690339736,95,Indie,Future Friends Games,Friedemann
Wife of My Boss,04-05-2024,0.00020498764446,0.1497599039615846,6.569141240245755e-05,0.8192399888945472,67,Indie,Love Seekers,Love Seekers
Chill Pulse,02-05-2024,0.0016662525272103,0.1497599039615846,0.0051669903521424,31.10197244558289,95,Indie,Catos Game,Catos Game
ATTA -Spot the Oddities in the Strange Hotel-,27-02-2024,0.0001475351480124,0.1497599039615846,3.740962214890723e-05,1.082875751602164,84,Indie,IDEA FRUITION,IDEA FRUITION
Cat Bait,27-08-2024,0.0001464941061741,0.1497599039615846,1.1098284494989491e-05,2.071326611078255,98,Indie,Mayni prod.,Mayni prod.
Dragons Legacy,26-03-2024,0.0001423624713786,0.1497599039615846,6.482209507909019e-05,20.90752054042036,77,Indie,Beawesome Games LLC,Beawesome Games
Dawnsbury Days,08-03-2024,0.0001706007312408,0.1497599039615846,0.0001155612495196,5.791491841946118,98,Indie,Dawnsbury Studios,Dawnsbury Studios
Leap Year,13-06-2024,0.0003971249287292,0.1497599039615846,0.0010804745012132,1.801851040328595,99,Indie,"Daniel Linssen,Sokpop Collective",Daniel Linssen
PANICORE,31-05-2024,0.0157591286844178,0.1497599039615846,0.0600990361067473,4.136291829591577,79,Indie,ZTEK Studio,ZTEK Studio
Let's Minesweeper,24-07-2024,0.0005192196168198,0.1497599039615846,0.0013546861622474,6.178763103995366,81,Indie,SUNJOY GAME,SUNJOY GAME
Doom Sweeper,08-06-2024,0.0006458363303951,0.1497599039615846,0.0014132781498423,11.423323279224366,77,Indie,Paper Dog,Paper Dog
Minimalist Tower Defense,25-01-2024,0.0008554110654549,0.1497599039615846,0.0020254224317135,16.989870723384826,94,Indie,HappyFairy213,HappyFairy213
Don't Shout Together,14-06-2024,0.0010142675434581,0.1497599039615846,0.0029936390892359,0.9848114232700108,33,Indie,SinisterGames,SinisterGames
